EndTime,Port,Slot,Time,TaskName,RecipeName,Group,Site,Cycle,Thickness,MSE,Iteration,AlignOffsetX,AlignOffsetY,StageX,StageY,StageZ,X,Y,Z,Symmetric,UV_C,UV_B,UV_A,Visible,IR,WVShift,SpectrumPath,SELampHeadTemp,SELampLaserTemp,TempNearQcell,Temp1xCam,TempEFEM,TempInnerHFFU,TempBelowFFU,TempAmbient,HumidInner,HumidOuter,ChuckVacuum1,ChuckVacuum2,RefFES,AFCount,StartPos,StartFES,StartSUM,StartQA,StartQB,StartQC,StartQD,FocusPos,FES,SUM,QA,QB,QC,QD
02/12/2024 04:40:12.286,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,11,1,19.4603,5.25E-06,1,865.711,-656.491,1933.098,-1345.172,-1509.661,-2800,2000,-1500,148670.6,3625.508,12984.348,12605.608,14478.198,4405.161,-0.362,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.452,24.992,28,27.3,26.4,27.8,26.1,23.8,33.5,41.4,-87.465,-87.534,,1,-1509.662,0.042151,3359.478,806.299011,897.549,802.637,852.992,-1509.662,0.042,3359.478,806.299,897.549,802.637,852.992
02/12/2024 04:40:13.670,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,12,1,19.4502,5.18E-06,1,865.711,-656.491,1933.099,-1345.172,-1509.661,-2800,2000,-1500,150692.5,3619.795,12976.481,12600.332,14474.157,4404.672,-0.358,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.456,24.999,28,27.3,26.4,27.8,26.2,23.8,33.5,41.4,-87.472,-87.549,,1,-1509.661,0.042167,3358.257,806.299011,898.16,802.026,851.772,-1509.661,0.042,3358.257,806.299,898.16,802.026,851.772
02/12/2024 04:40:14.996,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,13,1,19.4809,5.15E-06,1,865.711,-656.491,1933.101,-1345.173,-1509.658,-2800,2000,-1500,146022.5,3623.061,12980.032,12602.079,14475.123,4404.957,-0.361,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.456,24.999,28,27.3,26.4,27.8,26.2,23.8,33.5,41.4,-87.457,-87.534,,1,-1509.659,0.042364,3357.036,804.467896,897.244,802.942,852.382,-1509.659,0.042,3357.036,804.468,897.244,802.942,852.382
02/12/2024 04:40:16.368,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,14,1,19.4908,5.24E-06,1,865.711,-656.491,1933.102,-1345.173,-1509.662,-2800,2000,-1500,145392.8,3622.079,12974.252,12596.589,14470.81,4404.459,-0.362,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.456,24.999,28,27.3,26.4,27.8,26.2,23.8,33.5,41.4,-87.441,-87.542,,1,-1509.659,0.042499,3360.698,805.993835,898.465,802.942,853.298,-1509.659,0.042,3360.698,805.994,898.465,802.942,853.298
02/12/2024 04:40:17.821,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,15,1,19.5035,5.12E-06,1,865.711,-656.491,1933.102,-1345.174,-1509.66,-2800,2000,-1500,142655.5,3626.833,12980.932,12600.885,14474.841,4405.129,-0.361,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.456,24.999,28,27.3,26.4,27.8,26.1,23.8,33.5,41.4,-87.472,-87.542,,1,-1509.661,0.042302,3361.919,806.604187,899.075,803.247,852.992,-1509.661,0.042,3361.919,806.604,899.075,803.247,852.992
02/12/2024 04:40:19.225,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,16,1,19.4986,5.19E-06,1,865.711,-656.491,1933.1,-1345.174,-1509.66,-2800,2000,-1500,147610.1,3623.281,12976.44,12598.546,14472.582,4404.532,-0.356,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.448,25.01,28,27.3,26.4,27.8,26.1,23.8,33.5,41.3,-87.465,-87.526,,1,-1509.662,0.042437,3365.581,806.909363,899.686,804.468,854.518,-1509.662,0.042,3365.581,806.909,899.686,804.468,854.518
02/12/2024 04:40:20.617,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,17,1,19.4804,5.15E-06,1,865.711,-656.491,1933.1,-1345.172,-1509.66,-2800,2000,-1500,144953.3,3624.825,12979.29,12599.928,14473.72,4404.477,-0.357,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.448,25.01,28,27.3,26.4,27.7,26,23.8,33.5,41.3,-87.457,-87.526,,1,-1509.661,0.042517,3366.497,806.909363,900.296,804.773,854.518,-1509.661,0.043,3366.497,806.909,900.296,804.773,854.518
02/12/2024 04:40:21.874,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,18,1,19.4601,5.16E-06,1,865.711,-656.491,1933.1,-1345.174,-1509.661,-2800,2000,-1500,146115.7,3618.29,12975.116,12600.007,14473.271,4404.396,-0.356,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.448,25.01,28,27.3,26.4,27.7,26,23.8,33.5,41.3,-87.465,-87.534,,1,-1509.661,0.042389,3362.224,806.299011,898.77,803.552,853.603,-1509.661,0.042,3362.224,806.299,898.77,803.552,853.603
02/12/2024 04:40:23.320,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,19,1,19.4793,5.09E-06,1,865.711,-656.491,1933.102,-1345.172,-1509.662,-2800,2000,-1500,144623.4,3626.428,12983.336,12602.862,14475.75,4404.714,-0.357,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.448,25.01,28,27.2,26.4,27.7,26,23.8,33.5,41.3,-87.488,-87.542,,1,-1509.66,0.042003,3364.055,806.909363,898.77,804.468,853.908,-1509.66,0.042,3364.055,806.909,898.77,804.468,853.908
02/12/2024 04:40:24.674,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,20,1,19.4951,5.24E-06,1,865.711,-656.491,1933.097,-1345.171,-1509.661,-2800,2000,-1500,146356.1,3625.367,12990.673,12611.229,14484.335,4406.309,-0.36,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.46,25.003,28,27.2,26.4,27.7,26,23.8,33.5,41.3,-87.465,-87.526,,1,-1509.659,0.042688,3360.088,805.383423,898.16,802.942,853.603,-1509.659,0.043,3360.088,805.383,898.16,802.942,853.603
02/12/2024 04:40:26.020,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,21,1,19.4922,5.12E-06,1,865.711,-656.491,1933.102,-1345.172,-1509.662,-2800,2000,-1500,147171.6,3628.421,12992.682,12611.747,14484.047,4405.983,-0.357,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.46,25.003,28,27.2,26.4,27.7,26,23.8,33.5,41.3,-87.441,-87.503,,1,-1509.66,0.042696,3359.477,805.078247,898.465,802.942,852.992,-1509.66,0.043,3359.478,805.078,898.465,802.942,852.992
02/12/2024 04:40:27.360,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,22,1,19.4806,5.22E-06,1,865.711,-656.491,1933.1,-1345.172,-1509.66,-2800,2000,-1500,139337.6,3626.825,12991.846,12611.453,14484.315,4406.058,-0.361,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.46,25.003,28,27.2,26.4,27.7,26,23.8,33.5,41.3,-87.472,-87.526,,1,-1509.662,0.041893,3365.581,806.909363,898.465,805.383,854.823,-1509.662,0.042,3365.581,806.909,898.465,805.383,854.823
02/12/2024 04:40:28.742,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,23,1,19.4639,5.24E-06,1,865.711,-656.491,1933.102,-1345.174,-1509.662,-2800,2000,-1500,143953.6,3624.235,12988.646,12610.643,14484.05,4405.879,-0.363,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.46,25.003,28,27.2,26.4,27.7,26.1,23.8,33.5,41.3,-87.465,-87.503,,1,-1509.662,0.042049,3360.393,806.604187,897.549,802.942,853.298,-1509.662,0.042,3360.393,806.604,897.549,802.942,853.298
02/12/2024 04:40:30.126,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,24,1,19.4945,5.06E-06,1,865.711,-656.491,1933.101,-1345.172,-1509.661,-2800,2000,-1500,141976.2,3628.861,12990.399,12609.652,14482.989,4405.655,-0.362,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.452,24.992,28,27.2,26.4,27.7,26.1,23.8,33.4,41.3,-87.426,-87.511,,1,-1509.66,0.042121,3361.919,805.993835,898.16,804.163,853.603,-1509.66,0.042,3361.919,805.994,898.16,804.163,853.603
02/12/2024 04:40:31.500,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,25,1,19.5031,5.17E-06,1,865.711,-656.491,1933.099,-1345.176,-1509.661,-2800,2000,-1500,145215.1,3628.366,12985.124,12602.632,14476.405,4404.531,-0.358,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.452,24.992,28,27.2,26.4,27.7,26.1,23.8,33.4,41.3,-87.457,-87.534,,1,-1509.66,0.042113,3362.529,806.909363,898.77,803.552,853.298,-1509.66,0.042,3362.529,806.909,898.77,803.552,853.298
02/12/2024 04:40:32.888,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,26,1,19.4891,5.19E-06,1,865.711,-656.491,1933.099,-1345.173,-1509.661,-2800,2000,-1500,144166.7,3629.717,12985.584,12603.706,14477.278,4404.773,-0.358,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.452,24.992,28,27.2,26.4,27.7,26.1,23.8,33.4,41.2,-87.434,-87.511,,1,-1509.662,0.042113,3362.529,805.383423,897.549,805.078,854.518,-1509.662,0.042,3362.53,805.383,897.549,805.078,854.518
02/12/2024 04:40:34.304,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,27,1,19.4741,5.22E-06,1,865.711,-656.491,1933.098,-1345.172,-1509.66,-2800,2000,-1500,142327.6,3626.036,12987.881,12608.818,14481.538,4405.879,-0.358,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.452,24.992,28,27.2,26.4,27.6,26,23.8,33.4,41.2,-87.465,-87.542,,1,-1509.66,0.042098,3363.75,806.604187,898.77,804.468,853.908,-1509.66,0.042,3363.75,806.604,898.77,804.468,853.908
02/12/2024 04:40:35.710,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,28,1,19.4982,5.13E-06,1,865.711,-656.491,1933.101,-1345.177,-1509.66,-2800,2000,-1500,142489.9,3626.556,12982.361,12602.332,14476.038,4404.942,-0.359,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.464,25,28,27.2,26.4,27.6,26,23.8,33.4,41.2,-87.434,-87.526,,1,-1509.661,0.042,3357.036,805.383423,896.023,802.637,852.992,-1509.661,0.042,3357.036,805.383,896.023,802.637,852.992
