,,,,,,,,,,,,,,,,,,,,,,,,
5,507.7603,0.0000335,4000,-101500,-1500,665245.3,3385.092,12507.838,13453.994,15648.815,4484.592,-0.467,45.446,24.989,27.2,26.6,27.7,25.7,27.1,24.3,32.8,41.3,-95.98,-96.126
1,508.9282,0.000033,4000,-1500,-1500,649387.3,3399.423,12536.975,13480.841,15680.841,4488.412,-0.477,45.45,24.99,27.2,26.5,27.7,25.6,27.1,24.2,32.8,41.6,-95.825,-96.026
2,504.5229,0.0000323,104000,1500,-1500,677027.7,3376.094,12544.821,13474.953,15632.232,4478.512,-0.472,45.45,24.99,27.2,26.5,27.7,25.6,27.1,24.2,32.8,41.6,-95.918,-96.034
3,513.5815,0.000034,6000,101500,-1500,646525.4,3412.238,12471.379,13429.449,15675.975,4489.182,-0.475,45.45,24.99,27.2,26.5,27.7,25.6,27.1,24.2,32.8,41.5,-95.949,-96.087
4,512.4173,0.0000335,-106000,1500,-1500,629758,3417.2,12536.356,13492.88,15729.418,4498.727,-0.473,45.45,24.99,27.2,26.5,27.7,25.6,27.1,24.2,32.8,41.3,-95.941,-96.118
5,507.7341,0.0000333,4000,-101500,-1500,663469.3,3396.201,12529.48,13470.482,15663.181,4485.806,-0.468,45.45,24.99,27.2,26.5,27.7,25.6,27.1,24.2,32.8,41.2,-95.987,-96.141
1,1013.638,0.000193,4000,-1500,-1500,511713.2,3596.827,13731.483,13419.523,12021.625,4419.584,-0.488,45.465,24.995,27.2,26.5,27.7,25.6,27.1,24.2,32.8,41.6,-95.833,-95.987
2,1010.1506,0.00019,104000,1500,-1500,522870,3575.759,13696.441,13361.23,12012.687,4417.407,-0.48,45.465,24.995,27.2,26.5,27.7,25.6,27.1,24.1,32.8,41.6,-95.856,-96.072
3,1014.1867,0.000196,6000,101500,-1500,504703.1,3601.736,13743.369,13435.121,12026.999,4421.247,-0.483,45.465,24.995,27.2,26.5,27.7,25.6,27.1,24.1,32.8,41.6,-95.949,-96.095
4,1014.8777,0.000197,-106000,1500,-1500,491648.3,3604.056,13767.14,13465.49,12044.562,4426.332,-0.48,45.465,24.995,27.1,26.5,27.7,25.6,27.1,24.2,32.8,41.6,-95.933,-96.103
5,1019.9424,0.000208,4000,-101500,-1500,522523.3,3595.882,13673.399,13430.338,11966.746,4411.53,-0.476,45.465,24.995,27.1,26.5,27.7,25.6,27.1,24.1,32.8,41.7,-95.941,-96.141
1,1013.6476,0.000195,4000,-1500,-1500,507166.4,3604.182,13748.851,13432.796,12032.803,4421.949,-0.479,45.43,24.979,27.1,26.4,27.7,25.6,27.1,24.1,32.8,41.6,-95.818,-96.01
2,1010.166,0.00019,104000,1500,-1500,520209.4,3579.651,13693.262,13355.533,12009.349,4416.157,-0.48,45.43,24.979,27.1,26.5,27.7,25.6,27.1,24.1,32.8,41.6,-95.872,-96.057
3,1014.1979,0.000197,6000,101500,-1500,506490,3596.97,13731.036,13424.452,12018.969,4419.393,-0.479,45.43,24.979,27.1,26.5,27.7,25.6,27.1,24.1,32.8,41.5,-95.933,-96.08
4,1014.8837,0.000199,-106000,1500,-1500,499519.8,3607.188,13758.003,13453.673,12035.508,4424.439,-0.479,45.43,24.979,27.1,26.5,27.7,25.6,27.1,24.1,32.8,41.5,-95.956,-96.126
5,1019.9343,0.000207,4000,-101500,-1500,513775.3,3596.059,13682.986,13440.487,11977.023,4414.461,-0.483,45.43,24.979,27.1,26.5,27.7,25.6,27.1,24.1,32.8,41.6,-95.972,-96.134
1,1013.6342,0.000193,4000,-1500,-1500,505130.8,3595.181,13721.749,13411.585,12019.439,4420.966,-0.482,45.402,24.991,27.1,26.4,27.7,25.6,27.1,24.1,32.8,41.5,-95.833,-95.987
2,1010.1536,0.000193,104000,1500,-1500,525129.9,3576.325,13680.568,13342.113,12001.101,4415.93,-0.482,45.402,24.991,27.1,26.4,27.7,25.6,27.1,24.1,32.8,41.6,-95.887,-96.034
3,1014.1791,0.000193,6000,101500,-1500,501529.1,3606.752,13743.324,13432.666,12028.814,4423.097,-0.483,45.402,24.991,27.1,26.4,27.7,25.6,27.1,24.1,32.7,41.6,-95.933,-96.103
